"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-08-22 ~ 2026-08-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 대치동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"18","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202603","27","347,000","-","12","개인","개인","1979","삼성로 212","20260414","중개거래","서울 강남구","-"
"19","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202603","21","335,000","30","1","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","26.05.20"
"20","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202603","07","360,000","31","7","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","26.06.30"
"21","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202603","07","362,500","8","8","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","26.07.07"
"22","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202602","26","360,000","31","6","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","26.05.27"
"23","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202602","13","364,000","3","7","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","26.02.25"
"24","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202601","07","420,000","23","4","개인","개인","1980","삼성로 212","-","중개거래","서울 강남구","26.02.05"
"25","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202512","12","375,000","3","12","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","26.03.20"
"26","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202512","06","377,000","5","6","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","26.02.27"
"27","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202511","18","378,500","8","11","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","26.03.16"
"28","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202511","06","380,000","30","10","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구, 서울 서초구","26.02.26"
"29","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202511","03","415,000","9","4","개인","개인","1980","삼성로 212","-","중개거래","서울 강남구","26.01.28"
"30","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202510","31","431,000","22","13","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","26.02.23"
"31","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202510","31","431,000","-","13","개인","개인","1979","삼성로 212","20260123","중개거래","서울 강남구","-"
"32","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202510","31","372,500","16","9","개인","개인","1980","삼성로 212","-","중개거래","서울 강남구","26.02.24"
"33","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202510","30","369,000","20","5","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","26.02.27"
"34","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202510","29","359,000","-","3","개인","개인","1979","삼성로 212","20251113","중개거래","서울 강남구","-"
"35","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202510","29","359,000","-","3","개인","개인","1979","삼성로 212","20260119","중개거래","서울 강남구","-"
"36","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202510","23","360,000","31","4","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","26.01.09"
"37","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202510","14","428,000","22","12","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","25.12.23"
"38","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202510","02","360,000","-","4","개인","개인","1979","삼성로 212","20260108","중개거래","서울 강남구","-"
"39","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202510","01","350,000","3","12","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","25.11.18"
"40","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202509","30","403,000","-","7","개인","개인","1980","삼성로 212","20260127","중개거래","서울 강남구, 서울 동대문구","-"
"41","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202509","30","359,000","12","12","개인","개인","1980","삼성로 212","-","중개거래","서울 강남구","26.01.20"
"42","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202509","20","353,000","16","6","개인","개인","1980","삼성로 212","-","중개거래","서울 강남구","25.12.29"
"43","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202509","17","417,000","28","2","개인","개인","1980","삼성로 212","-","중개거래","서울 강남구","26.01.15"
"44","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202509","08","398,000","25","2","개인","개인","1980","삼성로 212","-","중개거래","서울 강남구","25.11.19"
"45","서울특별시 강남구 대치동","316","0316","0000","은마","76.7900","202509","02","338,000","5","9","개인","개인","1979","삼성로 212","-","중개거래","서울 강남구","25.10.31"
